term,counts
lies,118274
spain,118065
moment,117779
front,117600
buy,117513
resources,117421
vamos,117327
behind,117322
della,117291
indonesia,117278
happy,117213
guy,117147
calls,116989
almost,116866
comes,116615
according,116599
increase,116467
mundial,116409
países,116404
ke,116300
wash,116221
spreads,116206
issues,116204
markets,115990
healthy,115601
san,115274
financial,114951
list,114899
visit,114872
ont,114760
looks,114481
past,114444
hold,114064
tener,114034
yesterday,113895
den,113809
poor,113231
un,113209
supplies,113193
for,113130
wuhanvirus,113045
sense,113016
zero,112988
dengan,112981
00,112952
woman,112810
ppl,112615
vs,112612
favor,112173
negative,112098
international,111970
play,111876
confirmados,111796
bir,111795
living,111692
demand,111519
kits,110864
germany,110715
staysafe,110714
run,110586
mass,110578
area,110396
crise,110266
cancelled,110266
leader,110239
dia,110161
chief,109781
aid,109773
evitar,109724
पर,109722
रह,109682
número,109676
vulnerable,109537
billion,109483
momento,109406
infectados,109324
black,109236
thinking,109077
tout,109059
source,108962
interesting,108547
fallecidos,108514
giving,108464
send,108394
happen,108103
though,108063
following,107980
pa,107961
inside,107922
goes,107897
faire,107849
vai,107796
especially,107723
sorry,107560
course,107263
plans,107253
critical,107192
bring,107047
warns,106986
residents,106982
went,106915
tiempo,106774
law,106571
women,106536
killed,106535
fait,106507
damn,106462
noticias,106336
dont,105946
took,105869
common,105825
night,105672
heart,105409
issue,105384
que,105189
80,105141
key,104905
immune,104691
single,104627
bu,104583
light,104538
ones,104537
biden,104496
racist,104413
funding,104048
history,103892
cut,103628
paper,103583
access,103292
hell,103274
finally,103236
center,103193
mata,103056
announced,103054
emergencia,102737
package,102729
coronaoutbreak,102683
mit,102619
kind,102544
claims,102404
late,102236
website,102165
university,102165
être,102161
ways,102134
facts,101908
reporting,101814
dalam,101768
congress,101247
task,101203
slow,101177
situación,100884
heard,100883
reuters,100865
major,100851
head,100742
pakistan,100660
caused,100614
5g,100557
details,100498
sent,100496
knew,100452
move,100401
parte,100187
results,100150
supply,100067
wonder,99869
ass,99841
millones,99643
imagine,99636
causa,99636
