date,coronavirus,covid19,covid,19,nan,people,via,china,amp,trump,virus,pandemic,us,cases,new,news,like,get,wuhan,one,health,di,world,si,time,il,help,crisis,home,need,covid 19,coronavirus outbreak,coronavirus covid19,coronavirus pandemic,coronavirus cases,covid19 coronavirus,via youtube,due coronavirus,novel coronavirus,new york,death toll,new coronavirus,amid coronavirus,19 pandemic,stay home,coronavirus crisis,coronavirus covid,china coronavirus,coronavirus via,coronavirus china,social distancing,new cases,il coronavirus,corona virus,positive coronavirus,du coronavirus,spread coronavirus,wuhan coronavirus,coronavirus death,confirmed cases,covid 19 pandemic,coronavirus covid 19,covid 19 cases,covid 19 crisis,coronavirus death toll,due covid 19,bbc news coronavirus,covid 19 outbreak,covid 19 patients,covid 19 coronavirus,coronavirus live updates,covid 19 via,new york times,fight covid 19,positive covid 19,twitter web app,amid coronavirus outbreak,amid covid 19,world health organization,tested positive coronavirus,new coronavirus cases,tests positive coronavirus,coronavirus 2019 ncov,covid 19 virus,coronavirus task force
2020-02-21,7,2,1,10,87,59,84,32,96,31,12,1,55,5,69,37,80,61,14,74,59,72,52,63,49,80,69,41,56,82,2,12,3,1,3,3,49,2,16,64,13,4,3,1,2,2,3,13,28,13,0,3,21,11,1,2,8,15,10,2,0,3,1,2,17,1,4,3,2,3,5,0,43,3,0,32,0,0,8,1,2,0,18,3,0
2020-02-22,11,2,2,10,83,52,65,31,88,26,16,3,49,5,64,36,81,60,16,70,40,73,54,61,53,78,63,34,59,79,2,13,3,3,3,3,46,2,10,60,13,4,4,2,2,2,3,13,55,13,0,3,41,15,2,5,9,17,12,3,1,3,1,0,18,1,4,3,1,3,8,7,35,3,0,23,0,0,8,1,2,2,22,4,2
2020-02-23,17,3,3,10,82,57,55,33,84,29,22,4,50,6,71,39,84,61,18,74,41,79,56,63,55,83,66,38,61,81,3,21,6,4,4,6,39,3,15,63,15,6,3,2,2,4,5,17,69,17,0,2,61,21,2,10,12,20,13,3,2,5,1,0,19,1,8,5,2,5,6,0,47,3,0,23,17,0,10,2,2,0,18,4,3
2020-02-24,19,4,3,11,89,64,73,37,98,53,25,9,58,7,53,45,80,62,19,75,70,80,59,63,50,85,77,48,60,86,4,29,8,11,6,8,45,4,18,66,21,7,8,5,2,5,7,21,78,21,0,3,51,23,2,13,22,21,18,6,7,8,2,4,23,1,9,10,2,8,8,23,51,3,0,20,15,0,16,1,3,2,24,7,4
2020-02-25,24,6,4,12,87,65,70,38,93,42,29,14,61,9,46,45,79,63,20,74,71,77,54,64,50,85,78,50,58,88,4,35,9,17,8,9,40,5,24,65,23,9,5,6,2,9,7,25,65,25,0,4,42,27,4,16,30,24,23,8,6,9,2,2,29,1,15,8,3,9,11,9,50,4,0,51,0,0,19,2,4,7,24,7,2
2020-02-26,28,6,5,13,91,68,82,41,94,34,34,17,64,10,45,46,78,60,21,74,68,77,54,64,47,82,75,46,56,84,5,41,10,21,10,10,49,7,30,65,27,13,15,7,2,7,9,31,64,31,0,6,31,34,5,19,38,24,26,11,10,10,2,0,36,2,17,11,2,10,10,6,50,7,0,49,14,5,25,3,7,5,19,8,1
2020-02-27,26,7,5,13,85,68,86,41,96,30,34,15,64,11,48,45,80,60,22,74,67,75,58,65,48,79,74,46,56,84,5,39,12,18,11,12,39,6,28,66,27,15,12,9,2,9,10,29,46,29,0,7,29,33,9,19,45,22,27,11,7,11,3,0,36,1,17,11,1,11,14,9,52,7,1,20,15,5,24,5,8,8,31,11,10
2020-02-28,28,8,5,14,94,67,86,42,88,28,34,13,62,11,48,45,77,59,22,74,64,74,57,62,48,81,71,47,57,81,6,38,16,17,11,16,38,8,29,64,26,17,9,8,2,11,10,30,42,30,0,8,27,34,10,26,40,27,30,13,4,12,2,2,36,1,20,9,3,12,11,6,55,0,1,21,0,5,26,8,7,19,20,10,5
2020-02-29,26,7,5,13,82,59,65,38,90,29,31,10,58,10,74,41,79,58,18,71,44,75,57,63,45,81,61,38,60,75,6,30,13,12,10,13,41,7,25,62,23,16,14,7,2,8,10,27,47,27,0,8,29,31,11,25,33,23,41,13,8,12,2,6,32,1,15,9,5,12,10,0,42,6,2,68,25,6,18,7,8,21,31,9,6
2020-03-01,25,7,5,13,83,60,55,37,83,26,29,8,55,11,72,41,82,62,17,75,43,78,59,64,45,81,63,39,59,80,6,31,12,10,10,12,36,7,24,64,21,15,3,6,2,7,10,23,43,23,0,7,30,28,18,26,29,23,32,10,6,11,2,2,27,2,18,12,3,11,10,6,47,4,1,44,0,6,19,5,9,13,13,12,5
2020-03-02,30,9,7,16,88,69,92,40,94,26,38,10,66,14,55,46,76,60,20,74,76,77,57,64,49,81,77,48,59,87,8,44,15,13,15,15,44,10,35,72,19,30,12,7,2,10,13,27,51,27,1,10,32,39,18,31,42,23,34,19,10,15,4,2,21,3,24,11,1,15,15,17,55,2,2,40,45,0,23,5,11,12,15,15,6
2020-03-03,30,9,7,15,83,71,88,39,95,27,39,9,67,15,45,47,77,62,19,73,72,79,58,65,47,82,77,50,58,88,8,41,17,12,17,17,57,11,33,70,24,27,18,7,2,9,14,26,58,26,0,11,30,38,12,27,45,23,31,19,7,16,4,3,28,4,27,13,5,16,15,11,53,7,3,39,44,5,25,5,13,8,17,16,6
2020-03-04,32,10,8,15,83,72,84,39,91,34,40,7,66,17,46,50,76,62,20,72,71,78,55,66,47,82,73,52,56,85,9,41,18,11,19,18,33,11,34,70,25,30,11,7,2,11,15,28,65,28,1,14,39,41,14,26,41,24,33,21,7,16,5,6,27,5,31,14,5,16,23,14,70,2,2,0,29,5,29,5,17,14,13,16,5
2020-03-05,34,12,9,17,94,72,83,39,90,27,42,8,66,19,46,51,78,61,19,73,74,76,65,65,47,83,74,51,56,83,10,45,20,10,20,20,64,13,35,70,23,38,18,5,2,12,16,26,52,26,1,16,42,42,17,29,46,24,33,21,5,19,5,2,28,5,34,13,9,19,25,14,56,8,3,40,45,5,30,6,20,19,17,17,3
2020-03-06,34,13,11,19,91,69,86,38,91,27,41,7,70,19,47,50,79,60,19,75,66,75,53,66,46,85,70,51,59,78,12,44,22,8,21,22,44,13,35,69,23,33,17,8,2,11,18,27,63,27,1,16,45,41,18,30,45,22,29,25,9,19,6,2,27,3,30,18,10,19,20,12,49,8,2,72,38,5,29,8,19,15,18,19,5
2020-03-07,34,14,11,19,89,62,62,39,82,24,37,7,58,19,48,45,78,60,18,73,44,76,57,65,47,85,61,42,60,74,12,39,22,9,21,22,44,11,28,70,20,35,13,8,2,10,18,27,55,27,2,15,55,36,17,26,33,23,30,20,10,18,7,5,25,4,24,13,9,18,22,10,40,3,4,23,0,0,19,13,17,7,22,21,5
2020-03-08,37,15,12,20,80,66,48,39,83,23,37,7,58,21,47,45,81,60,21,72,45,78,74,67,66,85,65,45,60,78,13,40,23,8,24,23,31,12,23,76,23,41,12,7,2,10,19,28,56,28,1,17,64,37,16,32,36,22,31,21,6,20,8,2,28,6,32,14,9,20,17,10,49,11,3,23,0,6,22,10,20,24,26,19,3
